Rule,Category,Example,Score
COMMA_PARENTHESIS_WHITESPACE,Typography,"We had coffee , cheese and crackers and grapes.",
COMMA_TAG_QUESTION,Punctuation Errors,She isn't coming is she?,
COMMA_THAN,Commonly Confused Words,"If we want to eat, than we need to get some money.",
COMMA_WHICH,Punctuation Errors,I am going to the house which burned down.,
COMMON_BOND,Redundant Phrases,They formed a common bond against the British,
COMMUTE_BACK_AND_FORTH,Redundant Phrases,She will commute back and forth between New Haven and her home in Southern California before relocating to the Elm City this summer.,
COMP_THAN,Grammar,The tagger will return more as one tag.,50
,,The tagger will return more then one tag.,
,,This house is bigger then mine.,
COMPARISONS_AS_ADJECTIVE_AS,Possible Typo,We must do our job as best as we can.,80
COMPARISONS_NNS_THEN,Possible Typo,There were better companies then GE and Google.,80
COMPARISONS_THEN,Possible Typo,It was hotter then it'd ever been.,80
COMPLAIN_FOR_ABOUT,Collocations,The client complained for the service.,
COMPLAINS_COMPLAINTS,Commonly Confused Words,I do not understand why there are complains from our community.,
,,This is our biggest complain.,
COMPLAINT_COMPLIANT,Possible Typo,"If the rules are not fully complaint with the specification, post them here.",80
COMPLEMENT_COMPLIMENT,Possible Typo,She was complemented on her beautiful eyes.,80
COMPOSE_FROM_OF,Collocations,It is composed from carbohydrates and proteins.,
COMPRISE_OF,Possible Typo,It's tough to think you comprise of mostly water.,80
COMPRISED_CHIEFLY_OF,Possible Typo,The song was comprised chiefly of B chords.,80
COMPRISED_PRINCIPALLY_OF,Possible Typo,The lawsuit was comprised primarily of false accusations.,80
COMPRISES_OF,Possible Typo,The part comprises of the whole.,80
COMPRISING_OF,Possible Typo,This is a country comprising of independent people.,80
CONCENTRATE_WITH_ON,Collocations,"I know my life, it's not very interest because I am concentrated with my studies.",
CONFUSION_AWAIT_WAIT,Commonly Confused Words,"I can hardly await until "" Evidence "" arrives at my home.",
CONFUSION_DURING_FOR,Commonly Confused Words,I haven't seen him during ages.,
CONFUSION_OF_ADDICTING_ADDICITVE,Commonly Confused Words,Nicotine is the addicting drug in tobacco.,
CONFUSION_OF_ANOTHER_IN_OTHER,Commonly Confused Words,Let me say this another words.,
CONFUSION_OF_BEEN_BEING,Possible Typo,Stop been funny!,80
,,What doctrine are they been taught?,
CONFUSION_OF_CORRAL_CORAL,Commonly Confused Words,Corral reefs are diverse underwater ecosystems.,
CONFUSION_OF_DECENT_DESCENT,Commonly Confused Words,He is of Asian decent.,
,,Looking for a hotel with descent rooms.,
CONFUSION_OF_FOND_FUND,Possible Typo,A vulture fond is a...,80
CONFUSION_OF_GOLD_GOLF,Commonly Confused Words,She drove the gold cart.,
,,She is a golf medallist.,
,,She likes playing gold.,
CONFUSION_OF_HART_HEART,Commonly Confused Words,The questions of training and pay lie at the hard of the staffing problems.,
CONFUSION_OF_MARSHAL_MARTIAL,Commonly Confused Words,He is an experienced marshal artist.,
CONFUSION_OF_ME_I,Possible Typo,He gave it to Tim and I.,80
,,Her and I cheated on the test.,
,,Him and I cheated on the test.,
,,My mother and me went to California.,
,,Tim and me work together.,
CONFUSION_OF_OUR_OUT,Possible Typo,We evaluated out method by running RASP.,80
CONFUSION_OF_RIDE_RID,Possible Typo,Let's get rid if that broken chair.,80
,,Let's get ride of that broken chair.,
CONFUSION_OF_SAVE_SAFE_TO_IGNORE,Possible Typo,It is save to ignore trivial code when writing unit tests.,80
CONFUSION_OF_SOBBER_SOBER,Commonly Confused Words,I'm sobber.,
CONFUSION_OF_THEN_THAN,Possible Typo,It may be more expensive on some file systems then others.,80
,,She knows more then her colleagues.,
CONFUSION_OF_THESES_THESE,Possible Typo,Are theses scenes from a novel?,80
CONSENSUS_OF_OPINION,Redundant Phrases,"Wim Duisenberg, the ECB's Dutch president, is seen as a leader who seeks to fashion a consensus of opinion on the council rather than imposing his own views, as some chairmen of the US Federal Reserve have done.",
CONSEQUENCES_OF_FOR,Collocations,The new labour laws will have consequences on employees.,
CONSIST_TO_OF,Collocations,There is a program in medicine and this program consists to diagnostic people to know if their body works well.,
CONSTELLATION_PRIZE,Possible Typo,"The team was so upset, they didn't even claim their constellation prize.",80
CONSTITUTES_OF,Possible Typo,The city constitutes of five boroughs.,80
CONSTRUCTION_SIGHT,Possible Typo,We didn't visit the construction sight until Wednesday.,80
CONTINUE_TO_REMAIN,Redundant Phrases,We continued to remain optimistic.,
CONTRACT_CONTACT,Possible Typo,Please contract me as soon as possible.,80
COPYRIGHT,Typography,"Copyright (C) Joanna Bator, 2012",
COULD_CARE_LESS,Possible Typo,The man on the street said he could care less.,80
COULD_GIVE_A_DAMN,Possible Typo,"Frankly, my dear, I could give a damn.",80
COULD_OF,Commonly Confused Words,I should of finished it by now.,
COULDNT_CARELESS,Possible Typo,I couldn't careless.,80
COULDVE_IRREGULAR_VERB,Possible Typo,We could've ate the chicken.,80
COUNSEL_GENERAL,Commonly Confused Words,"Archer Blood, the counsel general in Dacca.",
COUNTLESS_OF,Collocations,There are countless of occurrences.,
COVER_BY_IN,Collocations,The Mountains are covered by snow.,
CRAZY_ON_WITH,Collocations,What makes me crazy on this dwelling is that some time we are higher than the clouds.,
CROWD_SOURCING,Possible Typo,Mechanical Turk is an example of crowd sourcing.,80
CURATOR_OF,Collocations,The man to whom you were speaking to was the curator on the exposition.,
CURE_AGAINST_FOR,Collocations,Researcher have found the cure against that type of cancer.,
CURE_FROM_OF,Collocations,This medicine will cure you from the disease.,
CURRENCY,Typography,You owe me 7.25$.,
CURRENCY_SPACE,Typography,You owe me $ 100.,
CURRENTLY,Plain English,I am currently employed.,
CURSING_THROUGH_VEINS,Possible Typo,It felt like the drugs were cursing through veins.,80
DAILY_REGIMENT,Possible Typo,They had a strict daily regiment of calisthenics.,80
DAMAGE_OF_TO,Collocations,It may cause damage of wildlife.,
DAMP_SQUID,Possible Typo,The last firework of the evening was a disappointing damp squid.,80
DARING-DO,Possible Typo,He impressed all the ladies with his daring-do.,80
DASH_RULE,Punctuation Errors,"- What is that, mother?",
,,"…— as aforementioned -,…",
,,In these educational establishments there were enrollments - mostly from elementary school — and a total of teachers.,
,,Vitorino Nemésio (1901 - 1978) — writer and university teacher.,
DATE_FUTURE_VERB_PAST,Semantic,We have visited the client on 10/27/2040.,
,,We have visited the client on 27/10/2040.,
,,We have visited the client on 7 October 2020.,
,,"We have visited the client on October 7, 2020.",
,,We visited the client on 10/27/2040.,
,,We visited the client on 27/10/2040.,
,,We visited the client on 7 October 2020.,
,,"We visited the client on October 7, 2020.",
DATE_NEW_YEAR,Semantic,IGD Convention - 7 October 2013,
,,"IGD Convention - October 7, 2013",
,,IGD Convention 2014 - 10/31/2013,
,,IGD Convention 2014 - 2013-10-31,
,,IGD Convention 2014 - 31/10/2013,
DATE_WEEKDAY,Semantic,"IGD Convention - Monday, 7 October 2014",
,,"IGD Convention - Monday, October 7, 2014",
,,"IGD Convention 2014 - Monday, 10/31/2014",
,,"IGD Convention 2014 - Monday, 2014-10-31",
,,"IGD Convention 2014 - Monday, 31/10/2014",
DATE_WEEKDAY_WITHOUT_YEAR,Semantic,"IGD Convention - Monday, 7 October",
,,"IGD Convention - Monday, October 7",
,,"IGD Convention 2014 - Monday, 10/31",
,,"IGD Convention 2014 - Monday, 31/10",
DE_FACTOR,Possible Typo,There was a de factor ban on cigarettes.,80
DE_JURO,Possible Typo,There is no de juro segregation allowed by law anywhere in the United States.,80
DEATH_NAIL,Possible Typo,The fall of the Berlin Wall was the death nail for the USSR.,80
DECEASE_DISEASE,Commonly Confused Words,He has a deadly decease.,
DEEP_SEEDED,Commonly Confused Words,He has a deep-seeded infection.,
DEER_DEAR,Commonly Confused Words,"Deer Anne,...",
DEFUSE_BOMB,Commonly Confused Words,How long did it take you to diffuse the bomb?,
DEGREE_CHANGE,Possible Typo,She made a 360 degree change in her life.,80
DEPARTURE_OF_FROM,Collocations,The stay is finally ended and they prepared their departure of New York.,
DEPEND_ON,Grammar,He depends you.,50
DEPENDENT,Commonly Confused Words,They are dependant on the results,
DEPRIVE_FROM_OF,Collocations,This soil is deprived from nutrients.,
DESCEND_DOWN,Redundant Phrases,The Pentagon aides and journalists descend down the back stairs of the plane as is customary while Rumsfeld comes down the main stairs to meet his welcome party.,
DESERT_DESSERT,Commonly Confused Words,The criminal will get his just desserts.,
DESIRE_ON_FOR,Collocations,"Even though some businessmen prefer unusual approaches to boost up their business identification, they get interested to identify the best approach to realize their desires on the business development.",
DESPITE_OF,Grammar,He kept running despite of the pain in his chest.,50
DESPITE_THE_FACT,Plain English,He still loves her despite the fact that she cheated on him.,
,,He still loves her in spite of the fact that she cheated on him.,
DID_BASEFORM,Grammar,Mozilla should has a grammar checker.,50
,,Since he does not really has any connection with us...,
,,Since he doesn't has any connection with us...,
,,They will comes home.,
DID_PAST,Grammar,Did the application worked?,50
,,Did you forgot it?,
DIE_DICE,Grammar,I had a dice in my hand.,50
DIE_FROM_OF,Collocations,The ferns are dying from too much watering.,
DIFFERENCE_ABOUT_BETWEEN,Collocations,There is not big difference about the week and the weekend to me.,
DIFFERENT_TACT,Possible Typo,We'll have to try a different tact.,80
DIFFICULT_TO_ME,Collocations,Studying grammar is difficult to me.,
DIFFUSE_TENSIONS,Commonly Confused Words,They gathered at her police precinct to thank officers for their work and to diffuse tensions.,
DIRECTLY_ANTITHETICAL,Redundant Phrases,The two events this week were directly antithetical to the University's values for these reasons.,
DISAPPOINT_FROM,Collocations,She was disappointed from the surprise.,
DISAPPOINTED_OF,Collocations,We could be disappointed of this announcement.,
DISC_BREAK,Possible Typo,The rear wheels are disc break.,80
DISCUSS_ABOUT,Grammar,Do you have a few minutes to discuss about this project?,50
DISCUSSIONS_AROUND,Possible Typo,They had many discussions around politics.,80
DIVERSITY_OF,Collocations,The diversity nature of this work is appealing to many.,
DIVIDE_IN_INTO,Collocations,Divide the pizza in four.,
DO_A_PARTY,Collocations,"A new roommate has moved in, so we decided to do a party with all of us..",
,,I like making a party.,
DO_ARTS,Collocations,My sister plays ballet at the community center.,
DO_HAVE_A_MEETING,Collocations,We decided to do a meeting the next day.,
DO_TO_THE_FACT_THAT,Commonly Confused Words,"Do to the fact that the MTA has burned through leaders at a rate of nearly one per year over the last six years, ...",
DO_VBZ,Grammar,Do you tried this?,50
DO_YOU_WHAT,Grammar,Do you why she left him?,50
DOE_SNOT,Possible Typo,This doe snot mean that I like you.,80
DOES_NP_VBZ,Grammar,Does your memory usage grows during processing?,50
DOES_X_HAS,Grammar,He does not has expertise about that.,50
DOES_XX_CAN,Grammar,Does someone can reproduce what I described before?,50
DOES_YOU,Grammar,But Does you have your glasses?,50
,,Does you have your glasses?,
DONT_NEEDS,Grammar,I do not needs help with that.,50
,,I don't needs help with that.,
DONT_WHAT,Grammar,One problem is that you often don't where a sentence starts and ends.,50
DONT_WILL,Grammar,I don't will do that.,50
DOOR_JAM,Possible Typo,There were scratches all along the door jam.,80
DOUBLE_NEGATIVE,Grammar,I didn't see nothing.,50
,,Nobody told me nothing.,
,,She could not hardly understand a word.,
,,She couldn't hardly understand a word.,
,,She hasn't seen nobody.,
,,You shouldn't have not done it!,
,,You shouldn't not do it!,
DOUBLE_PUNCTUATION,Punctuation,(empty),
DOUBT_FOR_IN,Collocations,I doubt for that.,
DOWN_SIDE,Possible Typo,There was no serious down side to the plan.,80
DOWNPAYMENT,Possible Typo,The couple made their first downpayment on their new house.,80
DRAW_ATTENTION,Plain English,We'd like to draw your attention to the last picture.,
,,Your attention is drawn to the last page.,
DRESS_WITH_IN,Collocations,Jane dresses with a coverall.,
DT_BAIL_OUT,Possible Typo,The bail out was too expensive.,80
DT_DT,Grammar,I like a this dog.,50
,,The 'an international movie' is interesting.,
,,The a thing is this.,
DT_JJ_NO_NOUN,Grammar,An absurd is making my existence meaningless.,50
,,This is an absurd.,
DT_PRP,Grammar,"Strode past the now frightened man, entered the he house.",50
DT_RESPONDS,Possible Typo,Thanks for the responds.,80
DT_VBZ_THEYRE_NN,Possible Typo,"And if another is they're boyfriend, I will be angry.",80
DUE_TO_THE_FACT,Plain English,The experiment was halted due to the fact that funding was withdrawn.,
DURING_OVER_THE_WEEKENDS,Collocations,"During the week, I go to school and I work in a pet shop during the week end.",
,,"During the week, I go to school and I work in a pet shop during the weekend.",
,,I only speak English on weekends because during weekends I work and some clients that only speak in English.,
DURING_THE_COURSE_OF,Redundant Phrases,He never smiled during the course of the trial.,
E_PRIME_LOOSE,Creative Writing,This is right.,100
E_PRIME_STRICT,Creative Writing,This is wrong.,100
EACH_AND_EVERY,Redundant Phrases,God bless each and every one of you!,
EACH_AND_EVERY_NOUN,Plain English,You better check each and every door.,
EACH_EVERY_NNS,Grammar,Each children are happy.,50
EACH_OTHERS,Grammar,They checked each others’ work.,50
EAGER_TO,Grammar,Bangladesh is eager to buying cars from Iran.,50
EARLY_ADAPTER,Nonstandard Phrases,DualCore PC is available for purchase for selected companies in the early adapter program.,
EASE_EASY,Commonly Confused Words,This looks pretty ease to me.,
EASE_OFF_USE,Commonly Confused Words,Increase ease off use.,
EASIEST_WAS_TO,Possible Typo,What is the fastest was to learn Spanish?,80
ECONOMIC_ECONOMICAL,Commonly Confused Words,This is a very economic car.,
ECONOMICAL_ECONOMIC,Commonly Confused Words,This article deals with economical development of the Third World.,
EG_NO_COMMA,Punctuation Errors,"There are several grammar checkers for English, e.g. LanguageTool.",
,,"There are several grammar checkers for English, eg LanguageTool.",
,,"There are several grammar checkers for English, eg. LanguageTool.",
EG_SPACE,Punctuation Errors,"There are several grammar checkers for English, e. g. LanguageTool.",
,,"Who's responsible for providing public facilities, i. e., a post office, library, etc. for the Northwest?",
EGG_YOKE,Commonly Confused Words,Chocolate mousse with egg yoke,
ELDER_OLDER,Possible Typo,She is elder than her brother.,80
ELLIPSIS,Typography,This is important . . . as far as I know.,
ELUDED_TO,Possible Typo,He eluded to engagement at the party.,80
EMPHATIC_REFLEXIVE_PRONOUNS,Plain English,I cannot do it for you. Only you yourself can do it.,
,,I cannot do it for you. Only you yourselves can do it.,
,,The software update is not correct. It itself causes more problems than in solves.,
,,There are no biscuits. I myself ate the last one.,
,,They cannot do it for us. We ourselves must do it.,
,,You cannot do it for her. Only she herself can do it.,
,,You cannot do it for him. Only he himself can do it.,
,,You cannot do it them. Only they themselves can do it.,
EMPTY_LINE,Style,(empty),
EN_A_VS_AN,Miscellaneous,The train arrived a hour ago.,
EN_COMPOUNDS,Miscellaneous,I now have a part time job.,
EN_CONTRACTION_SPELLING,Possible Typo,We havent earned anything.,80
EN_DASH_RULE,Miscellaneous,(empty),
EN_MASS,Commonly Confused Words,HP Already Shipping Linux en mass,
EN_QUOTES,Typography,„Test”.,
,,``Test”.,
,,"This is a (""test"")",
,,"This is a (""test"").",
EN_UNPAIRED_BRACKETS,Punctuation,"""I'm over here, she said.",
EN_WORD_COHERENCY,Miscellaneous,"He likes archaeology. Really? She likes archeology, too.",
END_RESULT_OR_PRODUCT,Plain English,The end result is clear.,
ENGLISH_WORD_REPEAT_BEGINNING_RULE,Style,"Moreover, the street is almost entirely residential. Moreover, it was named after a poet.",
ENGLISH_WORD_REPEAT_RULE,Miscellaneous,This is is just an example sentence.,
ENGLISH_WRONG_WORD_IN_CONTEXT,Commonly Confused Words,I have proscribed you a course of antibiotics.,
ENROLLED_IN_FOR,Collocations,He enrolled at the college.,
ENTER_IN,Collocations,"While he was entering in the room, he felt an uncomfortable feeling on his spine.",
ENTIRELY_COMPRISED_OF,Possible Typo,It was entirely comprised of people.,80
ENUMERATION_AND_DASHES,Punctuation Errors,1.- Introduction,
ENVELOPE_ENVELOP,Possible Typo,The smell started to envelope me.,80
EQUALLY_AS,Grammar,This model is equally as effective.,50
ESSENTIAL_ESSENTIALLY,Grammar,This is essential the same work,50
ESTABLISHED_FACT,Redundant Phrases,This is an established fact.,
ET_AL,Possible Typo,Thelen et al 2001,80
,,Thelen et. al. 2001,
ET_ALL,Commonly Confused Words,"In the recent paper by Shakespeare et all, it is argued that envy is not unique to primates.",
EUPUB_ACTION,Misused terms in EU publications (Gardner),Action 1 Measure 1.1 - Town twinning citizens' meetings - EUR 5896000,
EUPUB_ACTOR,Misused terms in EU publications (Gardner),… which have been supported by the EU and endorsed by various international actors.,
EUPUB_ACTORNESS,Misused terms in EU publications (Gardner),EU Actorness in International Affairs: The Case of EULEX Mission in Kosovo.,
EUPUB_ACTUAL,Misused terms in EU publications (Gardner),This appropriation is… based on the actual regulations and on the probable adjustments.,
EUPUB_ADEQUATE,Misused terms in EU publications (Gardner),The collection of the data should be adequate and proportionate to the objectives pursued.,
EUPUB_AGENDA,Misused terms in EU publications (Gardner),Three agendas were found in the meeting room.,
,,Write the time of the meeting in your agenda.,
EUPUB_AGENT,Misused terms in EU publications (Gardner),The problem of vacancies mainly concerns contract agents.,
EUPUB_AIDS,Misused terms in EU publications (Gardner),State aids — Decisions to propose appropriate measures pursuant to Article 108(1).,
EUPUB_AIM,Misused terms in EU publications (Gardner),List of specific recommendations from the Commission with the aim to reduce the administrative burden of REACH by SMEs.,
EUPUB_ALLOW_PERMIT_ENABLE_TO,Misused terms in EU publications (Gardner),The statistics available do not allow to take account of all these situations.,
EUPUB_ANGLO_SAXON,Misused terms in EU publications (Gardner),The Anglo-Saxon group of agencies are…,
EUPUB_ANIMATE,Misused terms in EU publications (Gardner),The Commission is looking for a head of sector to animate 12 staff members.,
EUPUB_ANTI,Misused terms in EU publications (Gardner),These threats are outlined in the framework of the Commission anti-cyber crime policy.,
EUPUB_ARTICULATE_ARTICULATION,Misused terms in EU publications (Gardner),"The European Parliament… urges Turkey to articulate with the Iraqi Government, and other neighbours, …",
,,This includes an appropriate articulation with the Cohesion policy funds.,
EUPUB_ASSIST_AT,Misused terms in EU publications (Gardner),Officials of the Commission assist at the meetings of the Committee and the working groups.,
EUPUB_ATTESTATION,Misused terms in EU publications (Gardner),… is a necessary and sufficient condition for an attestation of conformity.,
EUPUB_ATTRIBUTE,Misused terms in EU publications (Gardner),The contracting authority can attribute a contract to the company if…,
,,The contracts were attributed on 21 March.,
EUPUB_AXIS,Misused terms in EU publications (Gardner),… shall be calculated by applying the co-financing rate for each priority axis laid down by the Commission decision.,
EUPUB_BADGE,Misused terms in EU publications (Gardner),New topping up system for your children's badges at the European School.,
EUPUB_BOVINE_OVINE_CAPRINE_PORCINE_ASININE_ANIMALS,Misused terms in EU publications (Gardner),… and asinine animals.,
,,… and caprine fresh meat.,
,,… and porcine fresh meat.,
,,… as regards model certificates relating to the importation of bovine animals for slaughter and…,
,,… as regards model certificates relating to the importation of ovine animals for slaughter and…,
EUPUB_BUDGET_LINE,Misused terms in EU publications (Gardner),"These are DG and Culture (DG EAC) for budget line 15, …",
EUPUB_CABINET,Misused terms in EU publications (Gardner),Go to the British cabinet.,
EUPUB_CASE,Misused terms in EU publications (Gardner),Farmers are… subject to possible reduction of the grubbing-up premium in case of non-compliance with certain requirements.,
EUPUB_CITIZEN,Misused terms in EU publications (Gardner),Tax on citizens travelling from airports within the EU.,
EUPUB_COHERENT_COHERENCE,Misused terms in EU publications (Gardner),The Framework Programme is coherent with the objectives of the SET-Plan.,
EUPUB_COLLEGE,Misused terms in EU publications (Gardner),… to be adopted by the College before the 2007 summer break.,
EUPUB_COMITOLOGY,Misused terms in EU publications (Gardner),"… in the framework of the now-abolished comitology procedure, to ensure that the new system operates properly.",
EUPUB_COMPETENCES,Misused terms in EU publications (Gardner),"This Directive fully respects the competences of Member States, …",
EUPUB_COMPLETE,Misused terms in EU publications (Gardner),"They proposed a Regulation to complete Regulation (EC) No 1347/2000, aimed at facilitating…",
EUPUB_CONCERN,Misused terms in EU publications (Gardner),"Concerning the achievement[s] of the six EFA goals, the PEDP report reports that sound progress is being made…",
EUPUB_CONCERNED,Misused terms in EU publications (Gardner),This list should not be used in order to target the concerned officials with a marketing campaign or to profile them…,
EUPUB_CONDITIONALITY,Misused terms in EU publications (Gardner),… possible for you to influence conditionalities.,
EUPUB_CONFERENCE,Misused terms in EU publications (Gardner),"… the Medical Service is organizing a conference on Tuesday 12 October… A specialist doctor, M. Vic Arendt, will answer any of your questions.",
EUPUB_CONSIDER_AS,Misused terms in EU publications (Gardner),This increase is considered as adequate and in line with the rules.,
EUPUB_CONTRACTUAL_AGENT,Misused terms in EU publications (Gardner),… Temporary agents (officials seconded by the Commission and agents recruited by the agency) | Contractual agents | Seconded national experts | Total,
EUPUB_CONTRADICTORY_PROCEDURE,Misused terms in EU publications (Gardner),"… to confirm the accuracy of the Court's observations, followed by a ""contradictory procedure"" on the final text of the audit report.",
EUPUB_CONTROL,Misused terms in EU publications (Gardner),A number of controls are built into the system.,
,,Fraud occurred because the system was not controlled.,
EUPUB_DEAN,Misused terms in EU publications (Gardner),Each Chamber shall elect one Member as Dean.,
,,Each of the deans must…,
EUPUB_DEBRIEFING,Misused terms in EU publications (Gardner),Weekly debriefing meetings are necessary.,
EUPUB_DECOMMIT,Misused terms in EU publications (Gardner),The Commission shall decommit a portion of a budget commitment…,
EUPUB_DEEPEN,Misused terms in EU publications (Gardner),Portugal shall deepen the use of shared services.,
EUPUB_DEFINE_DEFINITION,Misused terms in EU publications (Gardner),The definition and implementation of all Union policies and activities…,
,,The main task is to define and carry out the annual implementation plan.,
EUPUB_DELAY,Misused terms in EU publications (Gardner),"In order to respect the delay for transmission, …",
EUPUB_DETACHED_DETACHMENT,Misused terms in EU publications (Gardner),"External staff comprise Local Agents, Contract Agents, Detached National Experts and Young Experts.",
,,The officer responsible for detachment must…,
EUPUB_DISPOSE_OF,Misused terms in EU publications (Gardner),… and disposes of independent information sources.,
,,… and may not dispose of independent information sources.,
EUPUB_DO,Misused terms in EU publications (Gardner),Do the statistical adjustments at national level.,
EUPUB_DOSSIER,Misused terms in EU publications (Gardner),An amendment to the Treaty could give new momentum to this dossier.,
EUPUB_ELABORATE,Misused terms in EU publications (Gardner),Refer to the information document elaborated by the Group of Experts.,
EUPUB_ENSURE_TO,Misused terms in EU publications (Gardner),In order to ensure to patients with rare diseases…,
EUPUB_ENTERPRISE,Misused terms in EU publications (Gardner),"Persons starting their own enterprise, including self-employment.",
EUPUB_ESTABLISH,Misused terms in EU publications (Gardner),The Agency shall establish a final inspection report.,
EUPUB_EVENTUAL_EVENTUALLY,Misused terms in EU publications (Gardner),They both opposed an eventual imposition of anti-dumping measures…,
EUPUB_EVOLUTION,Misused terms in EU publications (Gardner),These costs lead to a negative evolution of exports.,
EUPUB_EXERCISE,Misused terms in EU publications (Gardner),The promotion exercise is different in each institution.,
EUPUB_EXPERTISES,Misused terms in EU publications (Gardner),… in order to optimise local human resources and expertises as greatest potential drivers of growth in the ORs.,
,,The authority had obtained an expertise on the question…,
EUPUB_EXTERNALISE_EXTERNALISATION,Misused terms in EU publications (Gardner),… the decision to externalise should be taken on a consistent basis across the European Commission…,
,,This externalisation should be consistent across the European Commission.,
EUPUB_FICHE,Misused terms in EU publications (Gardner),"Where other information in the product information fiche is also provided, …",
EUPUB_FINANCIAL_ENVELOPE,Misused terms in EU publications (Gardner),The overall financial envelope remains unchanged.,
EUPUB_FIX,Misused terms in EU publications (Gardner),"… under certain conditions fixed in the regulation (Article 145(7)), …",
EUPUB_FOLLOW_UP,Misused terms in EU publications (Gardner),Develop a mechanism to follow up the implementation of the recommendations.,
EUPUB_FOLLOW-UP,Misused terms in EU publications (Gardner),This allows for an adequate follow-up of the sector.,
EUPUB_FORESEE,Misused terms in EU publications (Gardner),The Fleet Adjustment Schemes foresee the scrapping of 367 vessels.,
EUPUB_FORMULATE,Misused terms in EU publications (Gardner),… and one communication manager to formulate urgent safety communications.,
EUPUB_GLOBAL,Misused terms in EU publications (Gardner),"Today at 14:30, there will be a global power cut.",
EUPUB_HEAVY,Misused terms in EU publications (Gardner),The usual reason appears to be overly heavy administration.,
EUPUB_HIERARCHICAL_SUPERIOR,Misused terms in EU publications (Gardner),The applicant's hierarchical superior is usually…,
EUPUB_HOMOGENISE_HOMOGENEOUS_HOMOGENEOUSLY,Misused terms in EU publications (Gardner),Homogeneous policy regimes are not necessary.,
,,Homogeneously developed policy regimes are not necessary.,
,,Member States can work together towards shared goals without seeking to homogenize their inherited policy regimes.,
EUPUB_IMPORTANT,Misused terms in EU publications (Gardner),… and explain the reasons for which an important amount is still to be implemented.,
EUPUB_INCITE,Misused terms in EU publications (Gardner),Such activities shall not incite consumers to buy a product.,
EUPUB_INFORM_TO,Misused terms in EU publications (Gardner),A number of Member States informed that they…,
,,If Member States inform that they…,
EUPUB_INFORMATICS_TELEMATICS,Misused terms in EU publications (Gardner),Professional experience in informatics related to data base management…,
EUPUB_INSIDE,Misused terms in EU publications (Gardner),Evidence-based policy making inside the Commission…,
EUPUB_INSTANCE,Misused terms in EU publications (Gardner),… for tasks undertaken by another instance on behalf of the said authorities.,
EUPUB_INTERVENTION,Misused terms in EU publications (Gardner),… become a means of making the EU intervention truly complementary.,
EUPUB_INTRODUCE,Misused terms in EU publications (Gardner),When a State introduces a demand to be granted funding…,
EUPUB_JURY,Misused terms in EU publications (Gardner),The jury invited the applicants for interview.,
EUPUB_JUSTIFY_JUSTIFICATION,Misused terms in EU publications (Gardner),The French Government did not justify the…,
,,"The Government was unable to provide any justification, and the Commission could find none…",
EUPUB_LEGISLATOR,Misused terms in EU publications (Gardner),… while respecting the prerogatives of the two branches of legislator.,
EUPUB_MISSION,Misused terms in EU publications (Gardner),Last week I was in Rome on a mission.,
EUPUB_MODALITY,Misused terms in EU publications (Gardner),Evaluation modalities have changed over recent years.,
EUPUB_MODIFY_MODIFICATION,Misused terms in EU publications (Gardner),The Commission… undertook to make proposals to modify the regulation.,
,,The modification to the regulations…,
EUPUB_MODULATION,Misused terms in EU publications (Gardner),The voluntary modulations should take the form of…,
EUPUB_NAME,Misused terms in EU publications (Gardner),CardHolderName is the name and given name(s) of the holder of the Control Card.,
EUPUB_NORMALLY,Misused terms in EU publications (Gardner),"Normally, she will come at 8 o'clock'.",
EUPUB_NOTE,Misused terms in EU publications (Gardner),"An information note from Vice-President Kallas and the President, … was adopted in 2008.",
EUPUB_NOTIFY_TO,Misused terms in EU publications (Gardner),"Member States shall notify to the Commission the name, the address, ….",
EUPUB_OPERATOR,Misused terms in EU publications (Gardner),… a serious risk caused by an economic operator to the proper and secure functioning of the Single Market.,
EUPUB_OPPORTUNITY,Misused terms in EU publications (Gardner),The Court questioned the opportunity of introducing these measures.,
EUPUB_ORIENTATIONS,Misused terms in EU publications (Gardner),It will include policy orientations in all these areas.,
EUPUB_PERSPECTIVE,Misused terms in EU publications (Gardner),The Foundation enjoys a more stable perspective in 2010.,
EUPUB_PLANIFICATION,Misused terms in EU publications (Gardner),Simplified procedures and better planification should make it possible to…,
EUPUB_PRECISE_TO_PRECISION,Misused terms in EU publications (Gardner),… there is a need to precise the objectives of the CFP.,
,,"Without further precisions, this could lead to…",
EUPUB_PRESCRIPTION,Misused terms in EU publications (Gardner),"A uniform method for calculating the prescription is used, …",
EUPUB_PROJECT,Misused terms in EU publications (Gardner),… and more consistent with the wording of the project of Regulation on placing on the market.,
EUPUB_PROVIDE_TO,Misused terms in EU publications (Gardner),It is also part of ERA's effort to provide to its stakeholders a…,
EUPUB_PUNCTUAL,Misused terms in EU publications (Gardner),"… through regular meetings of the Standing Committee, and punctual expert groups meetings where appropriate.",
EUPUB_REASONABILITY,Misused terms in EU publications (Gardner),The reasonability of the rates was discussed.,
EUPUB_REFLECTION_GROUP_FORUM,Misused terms in EU publications (Gardner),The Commission's Reflection Forum on Multilingualism and Interpreter Training…,
,,The Commission's Reflection Forums on Multilingualism and Interpreter Training…,
EUPUB_REINFORCE,Misused terms in EU publications (Gardner),…will seek to reinforce the coordination of risk management.,
EUPUB_REQUEST,Misused terms in EU publications (Gardner),The Court of Justice was requested for a preliminary ruling.,
